case_id,agreement_start,product,broker_group,arrangement_type,amount_financed,total_cost_of_credit,commission_paid,apr_percent,commission_disclosed,key_evidence_complete,customer_vulnerability,customer_deceased,duplicate_representatives,existing_resolution,business_purpose,adapted_vehicle,zero_interest,lowest_five_percent_apr,visible_captive_link,complaint_age_days,remediation_status,years_deprived,illustrative_interest_rate,adjusted_credit_cap,reviewer_note,arrangement_reason,indicative_status,evidence_gaps,exclusion_reasons,estimated_loss,hybrid_principal_before_caps,cap_applied,illustrative_principal_redress,illustrative_interest,illustrative_total_redress,review_priority,human_decision_required,calculation_status
MF-071,2020-04-14,Conditional Sale,Online Broker,High commission,9925.0,3374.5,1091.75,11.2,False,True,False,False,False,False,False,False,False,False,False,59,Awaiting rules,8.69,0.05,2227.17,Fictional agreement created for portfolio demonstration.,High commission thresholds not met,No redress indicator,None identified,None identified,573.67,832.71,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-072,2020-06-20,PCH,Dealer Group A,DCA,10600.0,1696.0,796,12.5,False,True,True,False,False,False,False,False,False,False,False,76,Evidence gathering,1.99,0.03,1136.32,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire,288.32,542.16,Not applicable,0.0,0.0,0.0,Urgent,True,Illustrative only — scheme partly suspended
MF-073,2020-08-26,PCP,Dealer Group B,No flagged arrangement,11275.0,2593.25,839,13.8,False,True,False,False,False,False,False,False,False,False,False,93,Assessment,6.76,0.05,1763.41,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,440.85,639.92,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-074,2020-11-01,Hire Purchase,Independent Dealer,Contractual tie,11950.0,3585.0,882,15.1,False,True,False,False,False,False,False,True,False,False,False,110,QA,11.43,0.03,2473.65,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Indicatively eligible,None identified,None identified,609.45,745.73,90% commission cap,745.73,255.71,1001.44,Standard,True,Illustrative only — scheme partly suspended
MF-075,2021-01-07,Conditional Sale,Online Broker,High commission,12625.0,1515.0,1388.75,16.4,True,True,False,False,False,False,False,False,False,False,False,127,Awaiting rules,4.01,0.05,1060.5,Fictional agreement created for portfolio demonstration.,High commission thresholds met,No redress indicator,None identified,None identified,257.55,823.15,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-076,2021-03-15,PCH,Dealer Group A,DCA,13300.0,2527.0,968,17.7,False,True,False,False,True,False,False,False,False,False,False,144,Evidence gathering,9.13,0.03,1794.17,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,Multiple representatives require resolution,Personal Contract Hire,429.59,698.79,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-077,2021-05-21,PCP,Dealer Group B,No flagged arrangement,13975.0,3633.5,1011,19.0,False,False,False,False,False,False,False,False,False,False,False,161,Assessment,2.64,0.05,2616.12,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,Further investigation,Key agreement or commission evidence missing,None identified,617.7,814.35,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-078,2021-07-27,Hire Purchase,Independent Dealer,Contractual tie,14650.0,4834.5,1054,20.3,False,True,False,False,False,False,False,False,False,False,False,178,QA,7.45,0.03,3529.18,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Indicatively eligible,None identified,None identified,821.87,937.93,90% commission cap,937.93,209.63,1147.56,Standard,True,Illustrative only — scheme partly suspended
MF-079,2021-10-02,Conditional Sale,Online Broker,High commission,15325.0,2298.75,1685.75,4.6,False,True,False,False,False,False,False,False,False,False,False,195,Awaiting rules,12.04,0.05,1701.08,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Indicatively eligible,None identified,None identified,390.79,1038.27,90% commission cap,1038.27,625.04,1663.31,Priority,True,Illustrative only — scheme partly suspended
MF-080,2021-12-08,PCH,Dealer Group A,DCA,90000.0,19800.0,1140,5.9,True,True,False,False,False,False,False,False,False,False,False,212,Evidence gathering,5.29,0.03,10890.0,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire; High-value loan threshold,3366.0,2253.0,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-081,2022-02-13,PCP,Dealer Group B,No flagged arrangement,16675.0,4835.75,1183,7.2,False,True,True,False,False,False,False,False,False,False,False,229,Assessment,10.81,0.05,2708.02,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,822.08,1002.54,Not applicable,0.0,0.0,0.0,Urgent,True,Illustrative only — scheme partly suspended
MF-082,2022-04-21,Hire Purchase,Independent Dealer,Contractual tie,17350.0,6246.0,1226,8.5,False,True,False,False,False,False,False,False,True,False,False,246,QA,3.12,0.03,3560.22,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Excluded / no redress indicator,None identified,No interest charged,1061.82,1143.91,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-083,2022-06-27,Conditional Sale,Online Broker,High commission,4025.0,724.5,442.75,9.8,False,True,False,False,False,False,False,False,False,False,False,263,Awaiting rules,8.16,0.05,420.21,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Indicatively eligible,None identified,None identified,123.17,282.96,90% commission cap,282.96,115.45,398.41,Priority,True,Illustrative only — scheme partly suspended
MF-084,2022-09-02,PCH,Dealer Group A,DCA,4700.0,1175.0,112,11.1,False,True,False,False,False,False,False,False,False,False,False,280,Evidence gathering,1.17,0.03,693.25,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire; Commission at or below de minimis level,199.75,155.88,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-085,2022-11-08,PCP,Dealer Group B,No flagged arrangement,5375.0,1720.0,155,12.4,True,True,True,False,False,False,False,False,False,False,False,297,Assessment,6.9,0.05,1032.0,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,292.4,223.7,Not applicable,0.0,0.0,0.0,Urgent,True,Illustrative only — scheme partly suspended
MF-086,2023-01-14,Hire Purchase,Independent Dealer,Contractual tie,6050.0,847.0,198,13.7,False,True,False,False,False,False,False,False,False,False,False,24,QA,11.02,0.03,516.67,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Indicatively eligible,None identified,None identified,143.99,171.0,90% commission cap,171.0,56.53,227.53,Standard,True,Illustrative only — scheme partly suspended
MF-087,2023-03-22,Conditional Sale,Online Broker,High commission,6725.0,1412.25,739.75,15.0,False,True,False,False,False,True,False,False,False,False,False,41,Awaiting rules,4.06,0.05,875.6,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Excluded / no redress indicator,None identified,Prior court/FOS decision or accepted compensation,240.08,489.92,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-088,2023-05-28,PCH,Dealer Group A,DCA,7400.0,2072.0,284,16.3,False,False,False,False,False,False,False,False,False,True,False,58,Evidence gathering,9.35,0.03,1305.36,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,Key agreement or commission evidence missing,Personal Contract Hire; APR in illustrative lowest 5% group,352.24,318.12,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-089,2023-08-03,PCP,Dealer Group B,No flagged arrangement,8075.0,2826.25,327,17.6,False,True,False,False,False,False,False,False,False,False,False,75,Assessment,2.61,0.05,1808.8,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,480.46,403.73,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-090,2023-10-09,Hire Purchase,Independent Dealer,Contractual tie,8750.0,1487.5,370,18.9,True,True,True,False,False,False,False,False,False,False,False,92,QA,7.5,0.03,966.88,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,No redress indicator,None identified,None identified,252.88,311.44,Not applicable,0.0,0.0,0.0,Urgent,True,Illustrative only — scheme partly suspended
MF-091,2023-12-15,Conditional Sale,Online Broker,High commission,9425.0,2262.0,1036.75,20.2,False,True,False,False,False,False,False,False,False,False,False,109,Awaiting rules,12.55,0.05,1492.92,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Indicatively eligible,None identified,None identified,384.54,710.64,90% commission cap,710.64,445.93,1156.57,Standard,True,Illustrative only — scheme partly suspended
MF-092,2024-02-20,PCH,Dealer Group A,DCA,10100.0,3131.0,456,4.5,False,True,False,True,False,False,False,False,False,False,False,126,Evidence gathering,5.7,0.03,2097.77,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire,532.27,494.13,Not applicable,0.0,0.0,0.0,Urgent,True,Illustrative only — scheme partly suspended
MF-093,2024-04-27,PCP,Dealer Group B,No flagged arrangement,10775.0,1400.75,499,5.8,False,True,False,False,False,False,True,False,False,False,False,143,Assessment,10.96,0.05,952.51,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,Excluded / no redress indicator,None identified,Business-purpose agreement,238.13,368.56,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-094,2024-07-03,Hire Purchase,Independent Dealer,Contractual tie,11450.0,2290.0,542,7.1,False,True,False,False,False,False,False,False,False,False,False,160,QA,3.83,0.03,1580.1,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Indicatively eligible,None identified,None identified,389.3,465.65,90% commission cap,465.65,53.5,519.15,Standard,True,Illustrative only — scheme partly suspended
MF-095,2024-09-08,Conditional Sale,Online Broker,High commission,12125.0,3273.75,1333.75,8.4,True,True,False,False,True,False,False,False,False,False,False,177,Awaiting rules,8.69,0.05,2291.62,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Further investigation,Multiple representatives require resolution,None identified,556.54,945.14,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-096,2007-05-18,PCH,Dealer Group A,DCA,12800.0,4352.0,628,9.7,False,True,False,False,False,False,False,False,False,False,False,194,Evidence gathering,1.36,0.03,3089.92,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire,913.92,770.96,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-097,2007-07-24,PCP,Dealer Group B,No flagged arrangement,13475.0,2156.0,671,11.0,False,True,False,False,False,False,False,False,False,False,False,211,Assessment,6.99,0.05,1552.32,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,452.76,561.88,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-098,2007-09-29,Hire Purchase,Independent Dealer,Contractual tie,14150.0,3254.5,714,12.3,False,True,False,False,False,False,False,False,False,False,False,228,QA,11.88,0.03,2375.78,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Indicatively eligible,None identified,None identified,683.44,698.72,90% commission cap,642.6,229.02,871.62,Priority,True,Illustrative only — scheme partly suspended
MF-099,2007-12-05,Conditional Sale,Online Broker,High commission,14825.0,4447.5,1630.75,13.6,False,False,True,False,False,False,False,False,False,False,False,245,Awaiting rules,4.3,0.05,3291.15,Fictional agreement created for portfolio demonstration.,High commission thresholds not met,Further investigation,Key agreement or commission evidence missing,None identified,933.97,1282.36,Not applicable,0.0,0.0,0.0,Urgent,True,Illustrative only — scheme partly suspended
MF-100,2008-02-10,PCH,Dealer Group A,DCA,90000.0,10800.0,800,14.9,True,True,False,False,False,False,False,False,False,False,False,262,Evidence gathering,9.49,0.03,5940.0,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,"Personal Contract Hire; Pre-6 April 2008 agreement over £25,000; High-value loan threshold",2268.0,1534.0,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
